FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
8069,29,12.48,5.94,13.7,75.79,0.86,18.43,29.12,0.22,64.02,,1.39
8071,58.8,0.96,2.47,1.43,93.33,1.94,3.9,5.56,2.63,52.7,,0
8073,90.9,0.39,35.66,,60.25,8.67,0.59,1.78,0,60.29,,4.56
8075,96.7,9.41,47.82,29.71,49.37,5.96,4.91,14.95,6.93,59.33,0.26,8.25
8077,16.1,22.25,3.75,14.62,72.13,0.06,12.43,21.52,2.41,26.73,1.15,3.26
8079,1.5,34.25,0.13,,85.84,,0,0,0,,0,0
8081,31.4,3.16,4.07,5.13,87.71,2.52,8.47,1.79,,36.91,0.12,3.85
8083,53.2,11.44,9.03,11,80.87,1.65,4.94,17.38,,38.52,0.45,0.01
8085,23,24.15,4.57,13.9,75.42,,10.83,24.11,,32.77,0.5,0.4
8087,80.5,20.06,41.53,31.4,46.17,7.75,5.96,19.13,0.32,57.22,0.14,5.29
8089,85.1,7.17,9.66,7.37,88.17,0.5,5.31,38.34,1.19,57.06,,8.92
8091,24.5,10.11,2.49,9.26,85.32,0,19.89,0.83,0,11.93,0,0
8093,13.5,6.37,0.8,3.67,91.84,0,68.95,,0,33.98,0,0
8095,99.8,18.05,87.32,56.54,11.84,3.65,2.25,20.44,1.84,75.8,,9.75
8097,5.3,30.81,0.95,13.92,65.91,0,6.61,,0,20.59,0,
8099,96.4,8.73,50.09,,47.56,12.79,3.15,16.81,,56.91,0,0.56
8101,58.6,2.02,4.72,2.14,90.85,4.02,6.09,12.17,0.2,11.86,0.1,2.16
8103,19.9,6.6,2.12,7.11,86.43,,11.2,,0,25.95,,
8105,30.4,52.74,18.7,47.49,33.61,0.37,4.72,22.46,4.75,31.91,9.49,14.36
8107,30.8,9.19,5.36,10.22,77.31,2.88,10.7,0.69,0,33.23,,
8109,15.5,37.73,6.54,31.62,54.06,0.78,18.15,15.51,4,51.96,6.89,12.5
8111,0,0,0,0,0,0,0,0,0,0,0,0
8113,16.5,11.7,1.73,4.22,87.94,2.08,2.13,,0,14.79,0,0
8115,99.4,11.59,65.02,47.33,33.9,2.78,1.19,9.38,2.98,87.3,1.97,16.98
8117,6.8,20.73,1.74,15.36,74.02,0,4.23,,0,56.03,0,0
8119,20,1.22,1.56,2.64,92.31,0,12.74,0.9,0,9.38,0,0
8121,84.3,2.98,51.88,34.9,37.56,6.81,0.67,8.45,0.73,65.74,0.18,9.08
8123,82.3,15.41,36.18,22.77,55.6,9.9,8.36,26.88,1.55,54.29,0.09,6.32
8125,92.5,14.92,41.51,27.87,54.79,6.5,2.08,40.16,1.71,85.48,,11.48
9001,13.1,0.44,1.14,6.76,5.45,,6.31,16.64,,31.57,4.34,10.35
9003,10.2,7.01,5.57,42.58,13.65,0,5.48,37.08,8.51,45.75,1.8,10.65
9005,15.3,0.55,6.35,34.41,16.91,,12.87,8.13,1.34,18.74,0.38,2.94
9007,6.9,4.45,2.74,33.14,17.72,0,14.66,11.66,0.31,22.95,,11.63
